Drinkwater,Drinkwater-2,SDMVJVV2XF182,3C:E0:72:EF:FC:A3,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-4,SDMVJVZ0LF182,3C:EO:72:EF:CC:B7,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-5,SDMVJVXUAF182,3C:E0:72:F1:70:60,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-1,SDMVJVYKZF182,3C:E0:72:EB:4A:45,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-3,SDMVJVV1BF182,3C:E0:72:EC:64:11,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-17,SDMPJXH3HF182,E8:8D:28:0D:D0:4D,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-16,SDMQJXBXKF182,E8:8D:28:0E:1F:47,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-19,SDMRJXDUMF182,E8:8D:28:0D:C8:6F,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-18,SDMQJXPRDF182,E8:8D:28:11:32:19,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-20,SDMQJXPXVF182,E8:8D:28:15:4F:D1,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-24,SDMQJXFTRF182,20:7D:74:7A:D5:C4,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-25,SDMRJXDBUF182,E8:8D:28:0E:3F:46,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-22,SDMQJXCY0F182,E8:8D:28:0E:86:DF,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-23,SDMQJXD4PF182,E8:8D:28:11:F9:77,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-21,SDMQJXE3PF182,E8:8D:28:10:B7:96,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-15,SDMPJX59GF182,E8:8D:28:03:B7:56,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-14,SDMPJX4Z9F182,E8:8D:28:02:5A:92,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-13,SDMQJXD3XF182,E8:8D:28:13:85:C2,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-12,SDMPJXPR8F182,E8:8D:28:15:69:D4,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-11,SDMRJXECJF182,E8:8D:28:14:39:74,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-10,SDMQJXFW4F182,20:7D:74:70:1B:2A,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-9,SDMQJXF3PF182,20:7D:74:6E:63:62,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-7,SDMQJXCBSF182,E8:8D:28:0D:C8:3B,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-8,SDMQJXECHF182,20:7D:74:73:8E:BA,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Drinkwater,Drinkwater-6,SDMQJXEZYF182,E8:8D:28:10:8B:90,2012-12-19,2013/35426,2670-1100-1000-57340-950-005,Title,VI,,
Ames,AW-1,DMRJRYZBF185,3C:E0:72:BA:4E:D7,2013-02-18,2013/35453,1000-000-2230-57340-900-000,Tri,Town,PTG,reimbursement
Ames,AW-2,DMVJPLGZF185,34:C0:59:6B:5A:9F,2013-02-18,2013/35453,1000-000-2230-57340-900-000,Tri,Town,PTG,reimbursement
Weymouth,AW-3,DMVJV1DZF185,3C:E0:72:E9:CB:77,2013-02-18,2013/35453,1000-000-2230-57340-900-000,Tri,Town,PTG,reimbursement
Weymouth,AW-4,DMVJVW06F185,3C:E0:71:EA:5A:04,2013-02-18,2013/35453,1000-000-2230-57340-900-000,Tri,Town,PTG,reimbursement
