"Configs","autoComplete","1","off","text","","0"
"Configs","checkDeveloper","1","","integer","","1"
"Configs","dashBoardName","0","Tracker","text","","1"
"Configs","logLoginAttempts","0","","integer","","1"
"Configs","maxAssetPages","20","","integer","","1"
"Configs","maxAssetsPerPage","25","","integer","","1"
"Configs","maxTicketPages","20","","integer","","1"
"Configs","maxTicketsPerPage","25","","integer","","1"
"Configs","numDaysForFollowUp","14","","integer","","0"
"Configs","numDaysForWaitingOnThirdParty","21","","integer","","0"
"Configs","numDaysForWaitingOnUser","14","","integer","","0"
"Configs","orgOrDept","0","Department","integer","","1"
"Configs","orgOrDept","0","Department","text","","1"
"Configs","sendEmails","1","","integer","","0"
"Configs","sendersEmail","0","systems@villagesoup.com","text","","0"
"Configs","shareAssetAcrossOrgs","1","","integer","","1"
"Configs","shareAssetAcrossOrgs0","0","","integer","","0"
"Configs","shareAssetAcrossOrgs1","1","","integer","","0"
"Configs","showGoogleRSS","0","","integer","","1"
"Configs","showISC","0","","integer","","1"
"Configs","storeFilesInDB","0","","integer","","1"
"Configs","tinyMCE","6","","integer","","1"
"Configs","useGoogleApps","0","","integer","","0"
"Configs","useICS","1","","integer","","0"
"Configs","useInsurance","1","","integer","","1"
"Globals","appVersion","0","0.2.0 - Beta","text","","1"
"Globals","debug","1","","integer","","1"
"Globals","dev","1","","integer","Specifiy if this is development","1"
"Globals","formCheck","1","","integer","","0"
"Globals","jqueryVersion","0","jquery-1.7.2.min","text","","1"
"Globals","pageTitle","0","Tracker","text","","1"
"Globals","showMouseOvers","1","","text","","1"
"Globals","siteName","0","Tracker","text","","1"
"Globals","skipSecurityTest","0","","integer","","1"
"Paths","designPath","0","/design","text","","1"
"Paths","sitePath","0","/var/www/dev/tracker/public_html","text","","1"
"Paths","siteRootPath","0","/var/www/dev/tracker","text","","1"
"Paths","tmpPath","0","/var/www/dev/tracker/tmp","text","","1"
"SysConfigs","storeFilesInDB","0","","integer","","1"
"SysConfigs","SysVersion","118","","integer","","0"
"userId1","maxAssetsPerPage","50","","integer","","1"
"userId1","maxTicketsPerPage","25","","integer","","1"
"userId1","myMod1","12","","integer","","0"
"userId1","myMod2","3","","integer","","0"
"userId1","myMod3","4","","integer","","0"
"userId1","myMod4","1","","integer","","0"
"userId1","myMod5","2","","integer","","0"
"userId1","showGoogleRSS","0","","integer","","0"
"userId1","showISC","1","","integer","","0"
"userId1","showMouseOvers","1","","integer","","1"
"userId2","myMod1","1","","integer","","0"
"userId3","myMod1","1","","integer","","0"
"userId4","maxAssetsPerPage","25","","integer","","0"
"userId4","maxTicketsPerPage","25","","integer","","0"
"userId4","myMod1","1","","integer","","0"
"userId4","showGoogleRSS","1","","integer","","0"
"userId4","showISC","1","","integer","","0"
"userId4","showMouseOvers","1","","integer","","0"
"userId4163","myMod1","1","","integer","","0"
"userId4658","myMod1","1","","integer","","0"
"userId4659","myMod1","1","","integer","","0"
"userId4660","myMod1","1","","integer","","0"
"userId4661","maxAssetsPerPage","75","","integer","","0"
"userId4661","maxTicketsPerPage","25","","integer","","0"
"userId4661","myMod1","1","","integer","","0"
"userId4661","showGoogleRSS","0","","integer","","0"
"userId4661","showISC","0","","integer","","0"
"userId4661","showMouseOvers","1","","integer","","0"
"userId4662","myMod1","1","","integer","","0"
"userId4663","myMod1","1","","integer","","0"
"userId4664","maxAssetsPerPage","25","","integer","","0"
"userId4664","maxTicketsPerPage","25","","integer","","0"
"userId4664","myMod1","1","","integer","","0"
"userId4664","showGoogleRSS","0","","integer","","0"
"userId4664","showISC","0","","integer","","0"
"userId4664","showMouseOvers","1","","integer","","0"
"userId4665","myMod1","1","","integer","","0"
"userId4674","myMod1","1","","integer","","0"
"userId4722","maxAssetsPerPage","25","","integer","","0"
"userId4722","maxTicketsPerPage","25","","integer","","0"
"userId4722","myMod1","3","","integer","","0"
"userId4722","myMod2","2","","integer","","0"
"userId4722","showGoogleRSS","0","","integer","","0"
"userId4722","showISC","0","","integer","","0"
"userId4722","showMouseOvers","1","","integer","","0"
"userId4746","maxAssetsPerPage","25","","integer","","0"
"userId4746","maxTicketsPerPage","25","","integer","","0"
"userId4746","myMod1","4","","integer","","0"
"userId4746","myMod2","2","","integer","","0"
"userId4746","myMod3","1","","integer","","0"
"userId4746","showGoogleRSS","0","","integer","","0"
"userId4746","showISC","0","","integer","","0"
"userId4746","showMouseOvers","1","","integer","","0"
"userId4759","maxAssetsPerPage","25","","integer","","0"
"userId4759","maxTicketsPerPage","25","","integer","","0"
"userId4759","myMod1","4","","integer","","0"
"userId4759","myMod2","2","","integer","","0"
"userId4759","showGoogleRSS","0","","integer","","0"
"userId4759","showISC","0","","integer","","0"
"userId4759","showMouseOvers","1","","integer","","0"
"userId4760","myMod1","2","","integer","","0"
